,ALPHA,TRUE_DATA,TRUE_THETA,INDEX_MARGINAL,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE
0,1.0,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.49764425, 0.9743268, 0.97169596, 0.9743568, 0.97538215, 0.9769126, 0.97833306, 0.9743768, 0.9793384, 0.9790283, 0.97705764, 0.97916836, 0.9793234, 0.98009366, 0.9800536, 0.98018366, 0.9796885, 0.9799986, 0.9799036, 0.98026866, 0.9802987, 0.9802887, 0.9802587, 0.98041874, 0.9802987, 0.9803587, 0.9804037]","[0.4964218, 0.9310379, 0.96668243, 0.97535706, 0.9706955, 0.9764557, 0.97837067, 0.97852707, 0.9794159, 0.97976303, 0.9796562, 0.9806709, 0.9803238, 0.98122406, 0.9814682, 0.9812584, 0.98093414, 0.9805832, 0.9815521, 0.9813156, 0.98150253, 0.98168945, 0.98130035, 0.9819679, 0.9819679, 0.98184586, 0.98195267]","[1.6761258, 0.094493546, 0.0963307, 0.0900289, 0.084785454, 0.0812208, 0.07819938, 0.09248905, 0.07503419, 0.07578322, 0.08198388, 0.075971276, 0.07446002, 0.07272246, 0.07297227, 0.072688445, 0.074024275, 0.073047094, 0.073414154, 0.0726942, 0.072592475, 0.072763585, 0.07278733, 0.07221062, 0.07239165, 0.07222625, 0.07222745]","[1.6792991, 0.19512708, 0.12741223, 0.08782812, 0.11066826, 0.08418316, 0.07788664, 0.07778226, 0.07503245, 0.07364677, 0.07381321, 0.070786834, 0.07116845, 0.06849785, 0.06814568, 0.06818434, 0.06956816, 0.06955069, 0.06728955, 0.06755771, 0.067367576, 0.066539355, 0.068394035, 0.0663092, 0.06622665, 0.06654303, 0.066317216]",2.865915536880493,1741524947.9076598,18.737055778503418,[114.83926213],[0.],[0.99524999],[1.59284009],[0.11119607],[0.54390001],[-0.61939066],[0.53565903],[0.54795003]
1,0.9,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.4983945, 0.9698654, 0.9694852, 0.9734015, 0.974947, 0.9752071, 0.96897507, 0.9752971, 0.97639745, 0.9699054, 0.97610235, 0.974997, 0.97575223, 0.9763274, 0.9768876, 0.9772127, 0.9771277, 0.97735775, 0.97727275, 0.97736275, 0.97739774, 0.97735274, 0.9772277, 0.97732776, 0.97730774, 0.97735274]","[0.49882126, 0.9267578, 0.96749115, 0.96910095, 0.97462845, 0.9748039, 0.97190857, 0.97488403, 0.9758644, 0.9761734, 0.9757767, 0.97633743, 0.9766426, 0.97716904, 0.9773445, 0.97712326, 0.9778671, 0.9778633, 0.9780693, 0.9778824, 0.9780731, 0.9779968, 0.9779167, 0.9780464, 0.9780083, 0.9778328]","[2.3027618, 0.10270243, 0.10794271, 0.0991963, 0.08849441, 0.087436065, 0.10926121, 0.08840712, 0.083734356, 0.105379306, 0.08418487, 0.08952053, 0.08634644, 0.08386485, 0.08190497, 0.08112933, 0.081576325, 0.08091238, 0.08122612, 0.080707595, 0.08065469, 0.08071203, 0.08083886, 0.08070295, 0.08064523, 0.08066123]","[2.2973351, 0.20887066, 0.11859156, 0.108381264, 0.08959402, 0.08914523, 0.100758485, 0.08796732, 0.084160715, 0.08339094, 0.085810415, 0.08347289, 0.082977585, 0.08104282, 0.080602765, 0.080473915, 0.078370556, 0.0788088, 0.07810652, 0.07874562, 0.07802783, 0.07785304, 0.078238845, 0.07768564, 0.078179345, 0.07862054]",2.804439067840576,1741525274.7378116,19.608041048049927,[114.50649869],[0.],[0.99440002],[-53.65642402],[0.],[0.65570003],[-55.3532546],[0.],[0.66334999]
2,0.5,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.499995, 0.9380802, 0.9450824, 0.92824703, 0.96199787, 0.9528799, 0.95631105, 0.96206784, 0.9549806, 0.9649088, 0.96614915, 0.9515795, 0.9605024, 0.9661892, 0.965659, 0.9649538, 0.96546394, 0.96614915, 0.96638924, 0.9664693, 0.9662442, 0.9662592, 0.9664143, 0.96642923, 0.9664593, 0.96640426, 0.96633923, 0.96639425]","[0.501976, 0.8905182, 0.9419136, 0.94469833, 0.955925, 0.952816, 0.95897675, 0.9560814, 0.96321106, 0.96294785, 0.9648514, 0.965065, 0.9648514, 0.9649391, 0.9656296, 0.965889, 0.9658127, 0.9668236, 0.966362, 0.9671211, 0.9668999, 0.9664459, 0.96713257, 0.96707535, 0.9676132, 0.9675484, 0.9672966, 0.9673195]","[3.830689, 0.17301704, 0.18079679, 0.19209667, 0.13259073, 0.14141151, 0.1352711, 0.12318798, 0.14192885, 0.113950744, 0.11123333, 0.151096, 0.13179749, 0.110907555, 0.11265265, 0.11480072, 0.112319514, 0.11086687, 0.11045896, 0.1103863, 0.110551916, 0.11061339, 0.11031966, 0.11024045, 0.11035195, 0.11028965, 0.11030023, 0.11024313]","[3.8035517, 0.29422885, 0.19041717, 0.19752148, 0.1420941, 0.15401883, 0.13299762, 0.14379832, 0.12038994, 0.12017463, 0.11326928, 0.11366872, 0.11408877, 0.114018165, 0.11157513, 0.11053663, 0.11154905, 0.108471066, 0.109828725, 0.107171334, 0.1073035, 0.10871598, 0.10711998, 0.107464544, 0.10630982, 0.106250234, 0.10662636, 0.10605263]",2.8968923091888428,1741525623.6831477,16.598905086517334,[106.80012142],[0.],[0.98984998],[3.29898584],[0.00097035],[0.50054997],[2.90396283],[0.00368472],[0.5025]
3,0.1,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.50066024, 0.8715589, 0.6708547, 0.89036494, 0.7823703, 0.92045957, 0.93418396, 0.9416363, 0.9346991, 0.93988574, 0.9411812, 0.9400858, 0.9415413, 0.9422165, 0.94111115, 0.9414813, 0.9428167, 0.94252163, 0.9427917, 0.94310176, 0.9424416, 0.9425616, 0.9427267, 0.9429768, 0.9423065, 0.94276667, 0.9430818, 0.94236654, 0.94310176]","[0.49901962, 0.7374115, 0.8704796, 0.88435364, 0.906826, 0.91376877, 0.892231, 0.92642975, 0.928627, 0.92882156, 0.9315567, 0.93330765, 0.93699265, 0.9367485, 0.939373, 0.93917847, 0.9408188, 0.93997955, 0.9415512, 0.9415817, 0.9412155, 0.9418678, 0.9419441, 0.94220734, 0.94111633, 0.94155884, 0.9420166, 0.9420624, 0.9421272]","[1.3225435, 0.32145366, 2.3161232, 0.27646255, 0.50461835, 0.23242666, 0.21513873, 0.20735702, 0.198001, 0.18483217, 0.1832678, 0.1785297, 0.17315803, 0.1713081, 0.1712619, 0.17029715, 0.1689823, 0.17106369, 0.16840486, 0.1686435, 0.16857472, 0.17016093, 0.16847064, 0.16867974, 0.16884546, 0.16810584, 0.16810714, 0.16847278, 0.16802967]","[1.3271202, 0.52083296, 0.34326726, 0.33547476, 0.25588286, 0.23966146, 0.29798365, 0.21283801, 0.20629561, 0.20557496, 0.19895786, 0.1939565, 0.18259937, 0.18339205, 0.17677578, 0.17698762, 0.17340416, 0.17459089, 0.17140853, 0.17091295, 0.17111829, 0.17011848, 0.16990007, 0.16945687, 0.17167692, 0.17065305, 0.17027177, 0.17056167, 0.17049754]",2.869659423828125,1741525980.287057,19.783367156982422,[65.90313791],[0.],[0.9605],[-14.23039214],[5.93480454e-46],[0.55484998],[-16.53999625],[1.89034135e-61],[0.56174999]
4,0.05,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.5018656, 0.7195703, 0.85867476, 0.7789193, 0.8597651, 0.8752751, 0.8977123, 0.8818272, 0.91104656, 0.8671475, 0.91491276, 0.9147577, 0.91291714, 0.9055198, 0.8862236, 0.9175236, 0.9197543, 0.9153229, 0.9191641, 0.9194992, 0.91948926, 0.9197843, 0.91980433, 0.91990435, 0.9197893, 0.91989934, 0.9194942, 0.91957927, 0.91985434]","[0.50278854, 0.5683937, 0.78562546, 0.82421494, 0.82393265, 0.87968826, 0.85765076, 0.8798981, 0.8867264, 0.8677063, 0.88575745, 0.91186523, 0.91127014, 0.91426086, 0.9150009, 0.9162483, 0.9178848, 0.91822433, 0.91869354, 0.91941833, 0.91916275, 0.9190521, 0.91960526, 0.92090607, 0.9201431, 0.919899, 0.9198799, 0.9199333, 0.9203644]","[0.969928, 0.5246222, 0.34289503, 0.63093954, 0.35685623, 0.32111692, 0.2696364, 0.294891, 0.23677535, 0.33004594, 0.23667024, 0.23001093, 0.23230238, 0.24429661, 0.29587373, 0.22595547, 0.2194993, 0.22574033, 0.22007234, 0.21991932, 0.21982253, 0.2188361, 0.21873632, 0.21883044, 0.21862803, 0.21903604, 0.21875036, 0.21947695, 0.21861841]","[0.9706152, 0.7085642, 0.4648621, 0.43828958, 0.42047048, 0.31198007, 0.3566137, 0.31428266, 0.29668844, 0.34078214, 0.29355776, 0.23939265, 0.2389813, 0.23229973, 0.22974423, 0.22689459, 0.22323576, 0.2217966, 0.22155383, 0.22002582, 0.22054952, 0.22017035, 0.21863921, 0.21666415, 0.21655312, 0.21834473, 0.21869332, 0.21799256, 0.21666256]",2.901301622390747,1741526310.0625744,17.27092742919922,[39.22229209],[0.],[0.92734998],[-10.19718888],[2.0409436e-24],[0.5273],[-8.9407631],[3.86492127e-19],[0.52495003]
5,0.01,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.5009253, 0.4990797, 0.49920976, 0.50076526, 0.4990047, 0.49911973, 0.5009353, 0.5009503, 0.5009653, 0.5009753, 0.5009703, 0.49900967, 0.5009653, 0.5009603, 0.4990447, 0.4989797, 0.4989797, 0.5010153, 0.5009853, 0.5009803, 0.4990597, 0.49891967, 0.49798435, 0.4984645, 0.49793935]","[0.49999237, 0.49935532, 0.50068283, 0.4985466, 0.49939728, 0.501709, 0.5005226, 0.49765778, 0.50115967, 0.50006104, 0.49777222, 0.49933624, 0.5010605, 0.49937057, 0.49879837, 0.5006752, 0.4999466, 0.4968567, 0.4991188, 0.49982452, 0.5013542, 0.50164413, 0.4994011, 0.5005379, 0.5005493]","[1.1560801, 0.69719625, 0.69484526, 0.69326717, 0.69361514, 0.69339824, 0.69583285, 0.69336593, 0.6936191, 0.6951611, 0.69457614, 0.6934914, 0.69379294, 0.6931738, 0.693167, 0.69317585, 0.6932311, 0.6931978, 0.6931632, 0.6931487, 0.6931702, 0.69315195, 0.6931516, 0.6931557, 0.69315684]","[1.1571987, 0.7436565, 0.6967974, 0.69611645, 0.6952195, 0.69509435, 0.69558895, 0.6946393, 0.6942958, 0.6943167, 0.693746, 0.6937264, 0.6934723, 0.69350123, 0.69344133, 0.6932982, 0.6933048, 0.69326395, 0.6932179, 0.69320315, 0.6931565, 0.69315207, 0.69315684, 0.6931503, 0.69314826]",2.76171875,1741526626.4562523,27.57861876487732,[6.94600486],[3.75775836e-12],[0.73255002],[115.48537728],[0.],[0.99489999],[7.06949524],[1.55498261e-12],[0.72974998]
6,0.005,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.5002351, 0.5002501, 0.49945483, 0.4987346, 0.49976993, 0.49976492, 0.49978492, 0.49914974, 0.50012004, 0.50017005, 0.49962988, 0.5001951, 0.50021505, 0.49981993, 0.49978492, 0.4996799, 0.5002001, 0.49951485, 0.49976993, 0.5001851, 0.49829444, 0.50002503]","[0.49961472, 0.50058746, 0.5008087, 0.50045013, 0.49959946, 0.4995346, 0.49900436, 0.50011444, 0.49814224, 0.49887466, 0.49960327, 0.49962616, 0.49845505, 0.50008774, 0.5006294, 0.5005646, 0.49705887, 0.5008888, 0.4996872, 0.5010185, 0.49860764, 0.5013313]","[2.470837, 0.69448143, 0.6933264, 0.6932737, 0.6971866, 0.695094, 0.69461143, 0.6931703, 0.6931812, 0.6932071, 0.69317335, 0.693348, 0.69378006, 0.69370055, 0.69322556, 0.6931647, 0.6931835, 0.69315714, 0.69315994, 0.69317484, 0.69315344, 0.6931572]","[2.473291, 0.7302232, 0.6983648, 0.6960618, 0.6961355, 0.6951376, 0.69430315, 0.69392693, 0.69372654, 0.6935754, 0.6935172, 0.69352734, 0.693515, 0.6933159, 0.69332737, 0.6932275, 0.69322115, 0.6931869, 0.6931782, 0.6931603, 0.69316137, 0.69315183]",2.862203359603882,1741527469.3054986,18.992070198059082,[0.4703809],[0.63808291],[0.60650003],[115.59634129],[0.],[0.99545002],[0.75499102],[0.45025437],[0.60869998]
7,0.001,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.49848953, 0.49791434, 0.4990347, 0.5015405, 0.49848452, 0.4984645, 0.4984695, 0.4993848, 0.5015505, 0.4984695, 0.4984295, 0.49848452, 0.49848953, 0.4977643, 0.4984945, 0.4984345, 0.49847952, 0.4984945, 0.50147545, 0.49850452, 0.496854, 0.5002501]","[0.50096893, 0.5006943, 0.500206, 0.5003624, 0.49895477, 0.5015831, 0.50003815, 0.49959183, 0.50073624, 0.49967194, 0.500576, 0.49907684, 0.4988861, 0.49871445, 0.49880219, 0.49954605, 0.49979782, 0.50115204, 0.49985123, 0.50136566, 0.50068665, 0.5002632]","[2.069515, 0.694609, 0.6934961, 0.6941249, 0.69378406, 0.69349957, 0.69736785, 0.69319963, 0.69323, 0.69353944, 0.6931928, 0.6938475, 0.6934194, 0.693164, 0.6932341, 0.69317627, 0.6932032, 0.69315964, 0.69315827, 0.6932185, 0.69316167, 0.6931549]","[2.059863, 0.74608827, 0.6983367, 0.69620544, 0.6950485, 0.69529104, 0.6940498, 0.69433045, 0.69393027, 0.6935804, 0.69360447, 0.6934068, 0.6933504, 0.69327617, 0.69324607, 0.69319624, 0.6931924, 0.69315916, 0.69316375, 0.6931492, 0.69315505, 0.6931534]",2.9472570419311523,1741527190.535622,16.92196559906006,[-4.07876141],[4.52762735e-05],[0.50910002],[114.79906578],[0.],[0.99409997],[-2.01443572],[0.04396381],[0.5133]
8,0.005,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.5002351, 0.5002501, 0.49945483, 0.4987346, 0.49976993, 0.49976492, 0.49978492, 0.49914974, 0.50012004, 0.50017005, 0.49962988, 0.5001951, 0.50021505, 0.49981993, 0.49978492, 0.4996799, 0.5002001, 0.49951485, 0.49976993, 0.5001851, 0.49829444, 0.50002503]","[0.49961472, 0.50058746, 0.5008087, 0.50045013, 0.49959946, 0.4995346, 0.49900436, 0.50011444, 0.49814224, 0.49887466, 0.49960327, 0.49962616, 0.49845505, 0.50008774, 0.5006294, 0.5005646, 0.49705887, 0.5008888, 0.4996872, 0.5010185, 0.49860764, 0.5013313]","[2.470837, 0.69448143, 0.6933264, 0.6932737, 0.6971866, 0.695094, 0.69461143, 0.6931703, 0.6931812, 0.6932071, 0.69317335, 0.693348, 0.69378006, 0.69370055, 0.69322556, 0.6931647, 0.6931835, 0.69315714, 0.69315994, 0.69317484, 0.69315344, 0.6931572]","[2.473291, 0.7302232, 0.6983648, 0.6960618, 0.6961355, 0.6951376, 0.69430315, 0.69392693, 0.69372654, 0.6935754, 0.6935172, 0.69352734, 0.693515, 0.6933159, 0.69332737, 0.6932275, 0.69322115, 0.6931869, 0.6931782, 0.6931603, 0.69316137, 0.69315183]",2.862203359603882,1741527469.3054986,18.992070198059082,[0.4703809],[0.63808291],[0.60650003],[115.59634129],[0.],[0.99545002],[0.75499102],[0.45025437],[0.60869998]
9,0.0001,"[ 8.344571   9.504698   9.551759   8.40624    9.469814   8.124598
  8.118396   9.560553   9.688269   8.39393    9.022725   8.998059
  9.24008   10.551509   9.069617  10.064917   8.895365   8.8860855
 10.498367   8.7992735  9.857066  11.568231   9.874962   9.603194
  8.218997   8.118732  11.287901   9.754898   9.67455   10.501437
  9.707083   8.957064   8.758299  10.083906   8.712452   9.510927
  8.878475  10.159848   8.7649975 10.547169   6.936309   9.137961
  9.332641   8.3081875 11.447096  10.409727   9.674998  10.1465
  8.78896    9.2456665  7.399426   7.0403886 10.293491   9.103603
 11.55824   10.405116   9.938625  10.578518   9.754799   9.063436
  9.343937   8.906858   8.669648  10.064187   9.283449   9.2602005
 11.173185  10.269557   8.66557    9.437125   8.471178   9.678208
  9.408932   7.916336  10.887842  10.81145    9.560564   9.250333
  8.9891405  9.602237   9.945067  10.8684435  9.622963   9.296429
  8.379212   9.626452   9.5365925  8.219083   8.325492   9.020921
  9.657094  11.01183    8.534999   8.843449   9.703622   9.316035
  9.89368   11.220117  10.511029   9.90183  ]",[9.577559],0,"[0.5005252, 0.49976492, 0.499955, 0.50008005, 0.49997, 0.500065, 0.500105, 0.50008005, 0.499925, 0.4997099, 0.50005, 0.49991998, 0.50005, 0.500065, 0.500055, 0.50008506, 0.50009, 0.49770927, 0.49918973, 0.49925476, 0.49927977, 0.4984695, 0.50002]","[0.4999199, 0.49910736, 0.49980927, 0.50022507, 0.5006027, 0.49952698, 0.49925232, 0.50089264, 0.49953842, 0.49749374, 0.49982834, 0.5016403, 0.50055695, 0.4984398, 0.5024109, 0.4988556, 0.4999466, 0.4986725, 0.49897385, 0.49939346, 0.4985733, 0.5000305, 0.49967575]","[0.7650899, 0.6945662, 0.6949302, 0.7060764, 0.6934301, 0.6933345, 0.69478, 0.6961962, 0.69361085, 0.693166, 0.694412, 0.6933345, 0.6931732, 0.6932385, 0.6931823, 0.6932104, 0.6931674, 0.6931521, 0.6931512, 0.69315815, 0.69315565, 0.6931549, 0.6931605]","[0.76464796, 0.743594, 0.6983949, 0.6954417, 0.6949439, 0.69547397, 0.69451207, 0.69439125, 0.6938431, 0.69382226, 0.6937509, 0.69340795, 0.69354963, 0.6933064, 0.69326115, 0.69330716, 0.69323653, 0.69320345, 0.69318, 0.6931684, 0.69317037, 0.6931541, 0.6931528]",2.7961580753326416,1741527762.1732442,15.85947036743164,[-3.16136715],[0.0015703],[0.51020002],[115.73883924],[0.],[0.99629998],[-2.56406054],[0.01034555],[0.50645]
