alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1
1.0,inf,ABC,C2ST,0.9936500191688538,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,C2ST,0.9937000274658203,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,C2ST,0.9935500025749207,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,RS_stat,121.06703575911372,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,RS_stat,121.06658016541127,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,RS_stat,121.07014408389017,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,C2ST,0.5238000154495239,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,C2ST,0.5131000280380249,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,C2ST,0.506600022315979,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,RS_stat,-0.8965545190091466,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,RS_stat,-1.0626563896967691,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,RS_stat,-0.31019440151808564,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,RS_pvalue,0.3699566762484572,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,RS_pvalue,0.2879378045995158,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,NRE,RS_pvalue,0.756413127650187,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,C2ST,0.5206999778747559,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,C2ST,0.5153499841690063,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,C2ST,0.5149000287055969,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,RS_stat,0.0054695738579975854,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,RS_stat,-1.530673593545992,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,RS_stat,0.6850353449292306,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,RS_pvalue,0.9956359332239538,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,RS_pvalue,0.12585008319519064,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,CORRECTED_NRE,RS_pvalue,0.49332161757612547,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ALL,TIME_SIMULATION,0.8138108253479004,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ALL,TIME_TRAINING,32.78996753692627,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ALL,TIME_EVAL,21.40537977218628,1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
1.0,inf,ALL,NN_TRAIN_ACCURACY,"[0.51121473, 0.827243, 0.90360385, 0.9124244, 0.9146925, 0.91847277, 0.91809475, 0.91910285, 0.921119, 0.921623, 0.9199849, 0.9198589, 0.91935486, 0.9188508, 0.91960686, 0.91935486, 0.91809475, 0.91809475, 0.9199849, 0.9201109, 0.921245, 0.9185988, 0.91935486, 0.9201109, 0.91620463, 0.9172127, 0.9187248, 0.9148185, 0.921749, 0.921119, 0.9188508, 0.9201109, 0.9204889, 0.922001, 0.9207409, 0.91935486, 0.91935486, 0.9208669, 0.91822076, 0.91897684, 0.91922885, 0.920993, 0.91822076, 0.921119, 0.9206149, 0.921623, 0.9204889, 0.9202369, 0.922253, 0.91696066, 0.921497, 0.921119, 0.920993, 0.9206149, 0.9188508, 0.922631, 0.9201109, 0.9187248, 0.91910285, 0.921371, 0.91771674, 0.9199849, 0.921497, 0.91935486, 0.921371, 0.91847277, 0.9201109, 0.9199849, 0.920993, 0.921245, 0.921623, 0.9206149, 0.922757, 0.920993, 0.9199849, 0.91910285, 0.9207409, 0.921245, 0.9231351, 0.922505, 0.91960686, 0.921371, 0.9208669, 0.921623, 0.91897684, 0.9160786, 0.91960686, 0.921119, 0.9187248, 0.9203629, 0.9207409, 0.921623, 0.922127, 0.9208669, 0.920993, 0.922505, 0.9232611, 0.9208669, 0.921245, 0.9203629, 0.9207409, 0.922253, 0.921119, 0.921245, 0.921371, 0.921371, 0.9204889, 0.91973287, 0.922505, 0.9201109, 0.91935486, 0.921623, 0.9232611, 0.91973287, 0.9199849, 0.922253, 0.921497, 0.9206149, 0.922001, 0.9198589, 0.9203629, 0.921371, 0.922127, 0.91834676, 0.9203629, 0.9206149, 0.9202369, 0.921749, 0.921749, 0.921371, 0.9204889, 0.921623, 0.921245, 0.921371, 0.921497, 0.920993, 0.9206149, 0.921245, 0.9204889, 0.91935486, 0.921371, 0.921119, 0.922757, 0.9185988, 0.9203629, 0.9203629, 0.921497, 0.9207409, 0.922127, 0.9202369, 0.9207409, 0.921245, 0.9201109, 0.921749, 0.9207409, 0.9206149, 0.922379, 0.922253, 0.921119, 0.921497, 0.921119, 0.921749, 0.922127, 0.9206149, 0.9204889, 0.9198589, 0.922001, 0.921497, 0.921245, 0.9208669, 0.921623, 0.921119, 0.9207409, 0.921245, 0.9206149, 0.921245, 0.921119, 0.9206149, 0.921749, 0.921623, 0.920993, 0.9206149, 0.921371, 0.91922885, 0.921623, 0.921119, 0.921497, 0.922127, 0.922127, 0.921371, 0.921749, 0.921119, 0.9228831, 0.921623, 0.922379, 0.921497, 0.921371, 0.9204889, 0.920993, 0.922127, 0.9202369, 0.922253, 0.921749, 0.921245, 0.9203629, 0.921245, 0.921623, 0.921245, 0.922505, 0.9199849, 0.9207409, 0.921245, 0.921497, 0.920993, 0.921749, 0.921623, 0.921623, 0.922505, 0.9203629, 0.9207409, 0.9208669, 0.9230091, 0.9233871, 0.920993, 0.921245, 0.9206149, 0.921749, 0.920993, 0.921371, 0.9206149, 0.91973287, 0.922757, 0.921749, 0.921245, 0.9203629, 0.921245, 0.921371, 0.921371, 0.921371, 0.921245, 0.9208669, 0.922001, 0.9207409, 0.921245, 0.922127, 0.922631, 0.921875, 0.9206149, 0.922379, 0.921371, 0.921749, 0.921497, 0.920993, 0.920993, 0.9228831, 0.921371, 0.921623, 0.921749, 0.9228831, 0.922001, 0.921623, 0.921875, 0.922631, 0.922127, 0.921245, 0.922505, 0.9206149, 0.920993, 0.921623, 0.9206149, 0.922757, 0.921497, 0.9206149, 0.921749, 0.921875, 0.922505, 0.921497, 0.9232611, 0.921875, 0.921875, 0.921245, 0.920993, 0.921875, 0.921245, 0.9203629, 0.9202369, 0.920993, 0.920993, 0.921875, 0.9201109, 0.922631, 0.922127, 0.9232611, 0.922127, 0.921245, 0.922379, 0.921371, 0.921749, 0.9208669, 0.920993, 0.922379, 0.921119, 0.921245, 0.922631, 0.921245, 0.921245, 0.922379, 0.921497, 0.921245, 0.922127, 0.9232611, 0.9208669, 0.921749, 0.922505, 0.922379, 0.921371, 0.920993, 0.921875, 0.921497, 0.9208669, 0.921749, 0.921497, 0.921749, 0.9230091, 0.9228831, 0.9207409, 0.922253, 0.921875, 0.9207409, 0.922505, 0.9207409, 0.922127, 0.921623, 0.922631, 0.921623, 0.922379, 0.9233871, 0.921749, 0.921497, 0.921245, 0.921749, 0.921875, 0.921623, 0.921623, 0.921371, 0.922001, 0.921875, 0.921623, 0.921245, 0.922505, 0.922253, 0.921875, 0.922505, 0.921623, 0.922505, 0.922379, 0.9207409, 0.921623, 0.922001, 0.921875, 0.9208669, 0.922379, 0.922379, 0.920993, 0.922379, 0.922505, 0.922631, 0.921497, 0.922757, 0.922127, 0.921371, 0.922001, 0.921623, 0.9230091, 0.922127, 0.922127, 0.921245, 0.922001, 0.922127, 0.922757, 0.921749, 0.922505, 0.921623, 0.921875, 0.922253, 0.921875, 0.921875, 0.9235131, 0.921497, 0.921875, 0.921875, 0.921749, 0.9232611, 0.921371, 0.922127, 0.922505, 0.922127, 0.922001, 0.922379, 0.921245, 0.922505, 0.922127, 0.922127, 0.921497, 0.921623, 0.921875, 0.921875, 0.921749, 0.921119, 0.922127, 0.922757, 0.922379, 0.921371, 0.922505, 0.922505, 0.922127, 0.922757, 0.921875, 0.921875, 0.922001, 0.922127, 0.922127, 0.922253, 0.922253, 0.922757, 0.922001, 0.922001, 0.922127, 0.921875, 0.922253, 0.921119, 0.921749, 0.922001, 0.922253, 0.922127, 0.921371, 0.9228831, 0.922253, 0.9228831, 0.921749, 0.922379, 0.921875, 0.922757, 0.922757, 0.922253, 0.921749, 0.922253, 0.922253, 0.921497, 0.921749, 0.921623, 0.921749, 0.922127, 0.922127, 0.922505, 0.922001, 0.922001, 0.922127, 0.922757, 0.922127, 0.922379, 0.922379, 0.922127, 0.921875, 0.921875, 0.922253, 0.922757, 0.922379, 0.922001, 0.921371, 0.922127, 0.921749, 0.922253, 0.9232611, 0.922001, 0.922505, 0.922505, 0.922253, 0.922127, 0.922379, 0.921875, 0.921497, 0.922379, 0.922505, 0.922379, 0.922757, 0.921245, 0.922253, 0.922127, 0.921749, 0.921875, 0.922631, 0.922379, 0.921875, 0.9228831, 0.922127, 0.921875, 0.922253, 0.922379, 0.922253, 0.922127, 0.922757, 0.922631, 0.922757, 0.921875, 0.921623, 0.921497, 0.922001, 0.922757, 0.922001, 0.921623, 0.922127, 0.9230091, 0.922379, 0.921623, 0.921749, 0.922379, 0.922001, 0.922253, 0.922253, 0.922379, 0.922631, 0.922505, 0.922253, 0.922001, 0.922253, 0.922253, 0.922631, 0.922631, 0.922253, 0.922253, 0.921875, 0.922001, 0.922505, 0.922253, 0.922253, 0.922379, 0.922127, 0.921623, 0.922127, 0.9230091, 0.9230091, 0.922127, 0.922253, 0.922127, 0.922379, 0.922505, 0.921875, 0.922253, 0.9230091, 0.921875, 0.922001, 0.922505, 0.922127, 0.922127, 0.922379, 0.922505, 0.922505, 0.922379, 0.922127, 0.921875, 0.922253, 0.922127, 0.922001, 0.921497, 0.9230091, 0.922379, 0.9228831, 0.9228831, 0.922253, 0.922757, 0.922505, 0.922001, 0.922505, 0.922757, 0.922757, 0.922505, 0.922505, 0.922379, 0.922253, 0.922631, 0.922505, 0.922379, 0.922757, 0.922631, 0.922127, 0.922379, 0.9230091, 0.922631, 0.922253, 0.9231351, 0.9230091, 0.922631, 0.9230091, 0.922253, 0.9231351, 0.9228831, 0.922001, 0.922253, 0.922505, 0.922757, 0.9228831, 0.922631, 0.922631, 0.922253, 0.922505, 0.922001, 0.922253, 0.922505, 0.922253, 0.922505, 0.922253, 0.922127, 0.922379, 0.922505, 0.922631, 0.9228831, 0.922379, 0.922631, 0.922127, 0.922505, 0.9231351, 0.922379, 0.9231351, 0.922631, 0.9228831, 0.922505, 0.922379, 0.922631, 0.922253, 0.922379, 0.922631, 0.922379, 0.922001, 0.922505, 0.922505, 0.9228831, 0.922253, 0.922253, 0.9228831, 0.9230091, 0.922505, 0.922379, 0.922757, 0.9232611, 0.922505, 0.922127, 0.922757, 0.922505, 0.922379, 0.922505, 0.922631, 0.922757, 0.922757, 0.922631, 0.9230091, 0.9231351, 0.922127, 0.9228831, 0.922505, 0.922505, 0.9228831, 0.9230091, 0.922127, 0.922757, 0.9230091, 0.922253, 0.922757, 0.922757, 0.922757, 0.922505, 0.922001, 0.9230091, 0.922757, 0.922253, 0.9235131, 0.9228831, 0.9233871, 0.922505, 0.9228831, 0.922505, 0.922379, 0.9228831, 0.922379, 0.922379, 0.922631, 0.922505, 0.922379, 0.922505, 0.922505, 0.9231351, 0.922253, 0.922505, 0.922631, 0.922757, 0.9228831, 0.922505, 0.922379, 0.922379, 0.922505, 0.922757, 0.922379, 0.922505, 0.922379, 0.922379, 0.9233871, 0.922127, 0.922757, 0.922505, 0.9232611, 0.922631, 0.922505, 0.922631, 0.922757, 0.922631, 0.922631, 0.922631, 0.922253, 0.922379, 0.922505, 0.922757, 0.922379, 0.922379, 0.922379, 0.922505, 0.9230091, 0.922253, 0.922253, 0.922757, 0.922127, 0.922631, 0.922631, 0.9228831, 0.922631, 0.922757, 0.922379, 0.922631, 0.922757, 0.922505, 0.922631, 0.922379, 0.9230091, 0.922379, 0.922253, 0.9228831, 0.9228831, 0.922631, 0.922505, 0.922505, 0.922631, 0.922253, 0.9230091, 0.922253, 0.922127, 0.922505, 0.9228831, 0.922379, 0.922379, 0.922505, 0.922631, 0.922757, 0.922631, 0.922379, 0.9228831, 0.922757, 0.922253, 0.922631, 0.9228831, 0.922379, 0.922631, 0.922757, 0.9230091, 0.9228831, 0.9228831, 0.922631, 0.922505, 0.922757, 0.9228831, 0.922631, 0.922631, 0.922757, 0.922505, 0.922253, 0.922127, 0.922757, 0.9228831, 0.922379, 0.922757, 0.9231351, 0.922379, 0.922127, 0.9231351, 0.922379, 0.9228831, 0.922631, 0.922379, 0.922631, 0.922379, 0.9230091, 0.922757, 0.9230091, 0.9228831, 0.922379, 0.922253, 0.922757, 0.922757, 0.922505, 0.9228831, 0.9230091, 0.922631, 0.922757, 0.922631, 0.922631, 0.922127, 0.922127, 0.922379, 0.922379, 0.922631, 0.9230091, 0.922757, 0.922757, 0.922505, 0.922757, 0.922631, 0.922127, 0.922505, 0.922631, 0.922631, 0.922379, 0.922505, 0.922757, 0.922001, 0.922631, 0.922505, 0.922505, 0.922757, 0.922505, 0.922631, 0.922505, 0.922505, 0.922631, 0.922631, 0.922253, 0.922631, 0.922631, 0.922505, 0.922379]",1.0,0,10.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,25.0,0,25.0
