alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9724000096321106,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,C2ST,0.9728500247001648,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,C2ST,0.9724000096321106,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,RS_stat,-2.341626709777543,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,RS_stat,-2.337494523884824,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,RS_stat,-2.330329945499404,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,RS_pvalue,0.019199907431628336,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,RS_pvalue,0.01941348534671555,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,ABC,RS_pvalue,0.019788719220180044,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,NRE,C2ST,0.5630000233650208,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,NRE,C2ST,0.5552999973297119,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,NRE,C2ST,0.5534499883651733,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,NRE,RS_stat,-15.386484428818042,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,NRE,RS_stat,-14.412955394235897,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,NRE,RS_stat,-15.095738489652174,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
1.0,inf,NRE,RS_pvalue,2.0169717968526525e-53,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,0.15822603,0,-0.19571607,1.175851,0.9080203,-0.28201127,0.404549,-3.1413617,-0.5363083,1.2122066,0.614484,0.45866102,-1.3723804,0.14900489,1.7883774,-0.08803208,-0.5202251,-0.07190202,1.5761957,-1.3011335,-2.4353218,-0.023980513
