alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9747999906539917,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,C2ST,0.9739500284194946,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,C2ST,0.9739000201225281,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,RS_stat,-24.165723637175002,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,RS_stat,-24.19193497163735,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,RS_stat,-24.154931455169475,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,RS_pvalue,5.103598235785795e-129,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,RS_pvalue,2.7050112234107066e-129,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,ABC,RS_pvalue,6.626876998401768e-129,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
1.0,inf,NRE,C2ST,0.6223499774932861,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-2.780758,0,-2.1518059,-2.0342593,-3.157577,-3.10611,-3.8418827,-3.5583425,-3.0772855,-2.0855393,-1.2150563,-2.3035557,-1.4723655,-3.4298642,-1.9468774,-3.5960321,-2.6107965,-3.7904837,-3.1756196,-1.746475,-2.882547,-2.1178927
