,grid_nre,pdf_nre,grid_pseudo,pdf_pseudo,grid_nre_corrected,pdf_nre_corrected,grid_prior,pdf_prior,grid_true,pdf_true
0,-73.71137,2.8590019e-05,38.103813,1.283758e-07,38.08181,0.0010924871,-72.83528,2.630126e-05,38.103813,0.0012251403473063003
1,-73.69671,2.8662036e-05,38.104137,1.2875908e-07,38.082138,0.001096136,-72.82071,2.6371159e-05,38.104137,0.0012283702942600004
2,-73.68205,2.8734234e-05,38.10446,1.2914234e-07,38.082462,0.0010996915,-72.806145,2.6441143e-05,38.10446,0.0012316070431012509
3,-73.66739,2.880667e-05,38.104786,1.2933195e-07,38.08279,0.0011032965,-72.79157,2.6511361e-05,38.104786,0.0012348527398920973
4,-73.65273,2.8879233e-05,38.10511,1.2990877e-07,38.083115,0.0011069033,-72.77701,2.6581718e-05,38.10511,0.001238106338916958
5,-73.63808,2.8951923e-05,38.105434,1.3029195e-07,38.083443,0.0011105116,-72.76244,2.6652258e-05,38.105434,0.0012413678575693018
6,-73.62341,2.9024852e-05,38.10576,1.3048152e-07,38.08377,0.0011141218,-72.74787,2.6722963e-05,38.10576,0.0012446373132759061
7,-73.60876,2.909788e-05,38.106083,1.3086466e-07,38.084095,0.001117734,-72.7333,2.679388e-05,38.106083,0.0012479136448013157
8,-73.59409,2.9171066e-05,38.106407,1.3124779e-07,38.084423,0.0011213474,-72.718735,2.6864933e-05,38.106407,0.001251199024406744
9,-73.57944,2.9244464e-05,38.10673,1.3163088e-07,38.084747,0.0011249151,-72.70416,2.69362e-05,38.10673,0.0012544923935413688
10,-73.56477,2.9318046e-05,38.10705,1.3182044e-07,38.085075,0.0011285321,-72.6896,2.700758e-05,38.10705,0.0012577546533379179
11,-73.55012,2.9391784e-05,38.107376,1.322035e-07,38.0854,0.0011321506,-72.675026,2.70792e-05,38.107376,0.0012610639591763746
12,-73.53545,2.9465653e-05,38.1077,1.3258654e-07,38.085728,0.0011357702,-72.66046,2.7150934e-05,38.1077,0.0012643813071175171
13,-73.5208,2.9539733e-05,38.108025,1.3296955e-07,38.086052,0.0011393919,-72.64589,2.7222883e-05,38.108025,0.001267706714822315
14,-73.50614,2.9613946e-05,38.108353,1.3335246e-07,38.08638,0.0011430146,-72.631325,2.729497e-05,38.108353,0.0012710786007655089
15,-73.49148,2.9688345e-05,38.108673,1.3373548e-07,38.086708,0.0011466399,-72.61675,2.73673e-05,38.108673,0.0012743806805219392
16,-73.476814,2.9762958e-05,38.108997,1.3411841e-07,38.087032,0.0011502178,-72.60219,2.7439743e-05,38.108997,0.0012777303711510558
17,-73.46216,2.9837729e-05,38.10932,1.3450132e-07,38.08736,0.0011538934,-72.587616,2.7512404e-05,38.10932,0.001281088192519547
18,-73.447495,2.9912633e-05,38.109646,1.3449717e-07,38.087685,0.001157475,-72.57305,2.7585233e-05,38.109646,0.0012844541624574787
19,-73.43284,2.9987725e-05,38.10997,1.3488005e-07,38.088013,0.0011611045,-72.55848,2.7658252e-05,38.10997,0.0012878271883015407
20,-73.418175,3.0063004e-05,38.110294,1.352629e-07,38.088337,0.0011647374,-72.54391,2.773144e-05,38.110294,0.0012912095063111182
21,-73.40352,3.0138415e-05,38.11062,1.3564572e-07,38.088665,0.00116837,-72.52934,2.7804796e-05,38.11062,0.001294600026578497
22,-73.388855,3.0214074e-05,38.110943,1.3602852e-07,38.088993,0.0011720046,-72.51477,2.7878343e-05,38.110943,0.0012979987670699465
23,-73.3742,3.0289864e-05,38.111267,1.3641132e-07,38.08932,0.0011756882,-72.500206,2.7952032e-05,38.111267,0.0013014057457859185
24,-73.35954,3.0365816e-05,38.11159,1.3698755e-07,38.089645,0.0011792777,-72.48564,2.8025917e-05,38.11159,0.0013048209807611014
