,grid_nre,pdf_nre,grid_pseudo,pdf_pseudo,grid_nre_corrected,pdf_nre_corrected,grid_prior,pdf_prior,grid_true,pdf_true
0,38.103813,0.00019572476,21.146116,0.0,38.103813,0.00019572464,-72.83528,2.630126e-05,38.103813,0.0012251403473063003
1,38.104137,0.00019614537,21.149773,0.0,38.104137,0.00019614534,-72.82071,2.6371159e-05,38.104137,0.0012283702942600004
2,38.10446,0.0001965654,21.153427,0.0,38.10446,0.00019656523,-72.806145,2.6441143e-05,38.10446,0.0012316070431012509
3,38.104786,0.00019698594,21.157084,0.0,38.104786,0.00019698589,-72.79157,2.6511361e-05,38.104786,0.0012348527398920973
4,38.10511,0.0001974089,21.16074,0.0,38.10511,0.00019740897,-72.77701,2.6581718e-05,38.10511,0.001238106338916958
5,38.105434,0.00019783087,21.164396,0.0,38.105434,0.0001978309,-72.76244,2.6652258e-05,38.105434,0.0012413678575693018
6,38.10576,0.00019825393,21.168053,0.0,38.10576,0.0001982539,-72.74787,2.6722963e-05,38.10576,0.0012446373132759061
7,38.106083,0.00019867827,21.171707,0.0,38.106083,0.00019867817,-72.7333,2.679388e-05,38.106083,0.0012479136448013157
8,38.106407,0.00019910296,21.175364,0.0,38.106407,0.00019910293,-72.718735,2.6864933e-05,38.106407,0.001251199024406744
9,38.10673,0.00019952875,21.17902,0.0,38.10673,0.00019952854,-72.70416,2.69362e-05,38.10673,0.0012544923935413688
10,38.10705,0.00019994953,21.182676,0.0,38.10705,0.00019994953,-72.6896,2.700758e-05,38.10705,0.0012577546533379179
11,38.107376,0.00020037731,21.18633,0.0,38.107376,0.00020037734,-72.675026,2.70792e-05,38.107376,0.0012610639591763746
12,38.1077,0.0002008043,21.189987,0.0,38.1077,0.00020080428,-72.66046,2.7150934e-05,38.1077,0.0012643813071175171
13,38.108025,0.00020123238,21.193644,0.0,38.108025,0.00020123235,-72.64589,2.7222883e-05,38.108025,0.001267706714822315
14,38.108353,0.00020166676,21.1973,0.0,38.108353,0.00020166684,-72.631325,2.729497e-05,38.108353,0.0012710786007655089
15,38.108673,0.00020209051,21.200956,0.0,38.108673,0.00020209055,-72.61675,2.73673e-05,38.108673,0.0012743806805219392
16,38.108997,0.00020252171,21.20461,0.0,38.108997,0.0002025218,-72.60219,2.7439743e-05,38.108997,0.0012777303711510558
17,38.10932,0.00020295287,21.208267,0.0,38.10932,0.00020295272,-72.587616,2.7512404e-05,38.10932,0.001281088192519547
18,38.109646,0.00020338378,21.211924,0.0,38.109646,0.00020338377,-72.57305,2.7585233e-05,38.109646,0.0012844541624574787
19,38.10997,0.00020381756,21.215578,0.0,38.10997,0.00020381756,-72.55848,2.7658252e-05,38.10997,0.0012878271883015407
20,38.110294,0.0002042503,21.219234,0.0,38.110294,0.00020425011,-72.54391,2.773144e-05,38.110294,0.0012912095063111182
21,38.11062,0.00020468338,21.22289,0.0,38.11062,0.00020468333,-72.52934,2.7804796e-05,38.11062,0.001294600026578497
22,38.110943,0.00020511915,21.226545,0.0,38.110943,0.00020511917,-72.51477,2.7878343e-05,38.110943,0.0012979987670699465
23,38.111267,0.00020555369,21.230204,0.0,38.111267,0.0002055537,-72.500206,2.7952032e-05,38.111267,0.0013014057457859185
24,38.11159,0.00020598953,21.233858,0.0,38.11159,0.00020598953,-72.48564,2.8025917e-05,38.11159,0.0013048209807611014
25,38.111916,0.0002064271,21.237514,0.0,38.111916,0.00020642692,-72.47107,2.8100023e-05,38.111916,0.001308243363288947
26,38.11224,0.00020686499,21.24117,0.0,38.11224,0.00020686492,-72.4565,2.81743e-05,38.11224,0.0013116751622948525
27,38.112564,0.00020730242,21.244827,0.0,38.112564,0.00020730241,-72.44193,2.8248716e-05,38.112564,0.0013151152718639903
28,38.11289,0.00020774198,21.248482,0.0,38.11289,0.00020774202,-72.42736,2.8323358e-05,38.11289,0.0013185637101684948
29,38.11321,0.00020817672,21.252138,0.0,38.11321,0.00020817673,-72.412796,2.8398143e-05,38.11321,0.0013219795378375118
30,38.113533,0.00020861672,21.255795,0.0,38.113533,0.00020861675,-72.398224,2.8473152e-05,38.113533,0.0013254445891641405
31,38.113857,0.00020905807,21.259449,0.0,38.113857,0.000209058,-72.38366,2.8548306e-05,38.113857,0.001328916880527804
32,38.114185,0.00020950535,21.263107,0.0,38.114185,0.00020950529,-72.36909,2.8623657e-05,38.114185,0.001332439969388227
33,38.11451,0.00020994717,21.266762,0.0,38.11451,0.00020994706,-72.35452,2.869918e-05,38.11451,0.0013359303223897461
34,38.11483,0.00021038551,21.270418,0.0,38.11483,0.00021038546,-72.33995,2.877493e-05,38.11483,0.0013393876586508579
35,38.115154,0.00021083059,21.274075,0.0,38.115154,0.00021083068,-72.325386,2.8850796e-05,38.115154,0.0013428948068542324
36,38.11548,0.0002112746,21.277729,0.0,38.11548,0.0002112745,-72.310814,2.892692e-05,38.11548,0.0013464092731023192
37,38.115803,0.00021172017,21.281385,0.0,38.115803,0.0002117202,-72.29625,2.9003186e-05,38.115803,0.0013499333872626122
38,38.116127,0.00021216646,21.285042,0.0,38.116127,0.00021216646,-72.28168,2.9079656e-05,38.116127,0.001353466013553874
39,38.11645,0.00021261368,21.288696,0.0,38.11645,0.00021261374,-72.267105,2.9156325e-05,38.11645,0.0013570071705301151
40,38.116776,0.00021306187,21.292353,0.0,38.116776,0.0002130618,-72.25254,2.9233142e-05,38.116776,0.0013605568767804145
41,38.1171,0.00021351119,21.296011,0.0,38.1171,0.00021351117,-72.237976,2.9310133e-05,38.1171,0.0013641151509289743
42,38.117424,0.00021396023,21.299665,0.0,38.117424,0.00021396021,-72.223404,2.9387356e-05,38.117424,0.0013676808376842178
43,38.11775,0.00021440981,21.303322,0.0,38.11775,0.00021440981,-72.20884,2.9464725e-05,38.11775,0.001371256300810765
44,38.118073,0.00021486157,21.306978,0.0,38.118073,0.00021486149,-72.19427,2.9542354e-05,38.118073,0.0013748403879132731
45,38.118397,0.00021531264,21.310633,0.0,38.118397,0.00021531267,-72.179695,2.962013e-05,38.118397,0.0013784331177569475
46,38.11872,0.00021576547,21.31429,0.0,38.11872,0.00021576544,-72.16513,2.9698085e-05,38.11872,0.0013820345091423787
47,38.119045,0.00021621905,21.317945,0.0,38.119045,0.00021621902,-72.15056,2.9776244e-05,38.119045,0.0013856433927343897
48,38.119366,0.00021666697,21.3216,0.0,38.119366,0.00021666706,-72.135994,2.985458e-05,38.119366,0.0013892192842866469
49,38.11969,0.00021712204,21.325256,0.0,38.11969,0.000217122,-72.12142,2.9933122e-05,38.11969,0.001392846667302439
50,38.120018,0.00021758305,21.328913,0.0,38.120018,0.00021758302,-72.10686,3.0011814e-05,38.120018,0.0013965258705766102
51,38.120342,0.00021803878,21.33257,0.0,38.120342,0.00021803871,-72.092285,3.009077e-05,38.120342,0.001400170850040371
52,38.120667,0.00021849589,21.336226,0.0,38.120667,0.00021849584,-72.07772,3.0169847e-05,38.120667,0.0014038234020425616
53,38.12099,0.00021895312,21.33988,0.0,38.12099,0.00021895321,-72.06315,3.024916e-05,38.12099,0.0014074859478322584
54,38.12131,0.00021940713,21.343536,0.0,38.12131,0.00021940717,-72.048584,3.0328625e-05,38.12131,0.0014111138071944596
55,38.121635,0.00021986647,21.347193,0.0,38.121635,0.0002198665,-72.03401,3.0408328e-05,38.121635,0.001414793893897272
56,38.12196,0.00022032762,21.350847,0.0,38.12196,0.00022032762,-72.01945,3.0488181e-05,38.12196,0.0014184828318660812
57,38.122284,0.00022078722,21.354504,0.0,38.122284,0.00022078713,-72.004875,3.0568244e-05,38.122284,0.001422180640293768
58,38.12261,0.00022124904,21.35816,0.0,38.12261,0.00022124911,-71.9903,3.064855e-05,38.12261,0.0014258873384092382
59,38.122932,0.00022171246,21.361816,0.0,38.122932,0.00022171251,-71.97574,3.0728974e-05,38.122932,0.0014296017225759229
60,38.123257,0.00022217515,21.365473,0.0,38.123257,0.00022217506,-71.961174,3.080961e-05,38.123257,0.0014333262549598574
61,38.12358,0.0002226388,21.36913,0.0,38.12358,0.0002226388,-71.9466,3.089049e-05,38.12358,0.0014370597349285929
62,38.123905,0.00022310365,21.372784,0.0,38.123905,0.00022310355,-71.93204,3.097152e-05,38.123905,0.0014408021818556457
63,38.12423,0.00022356925,21.37644,0.0,38.12423,0.00022356922,-71.917465,3.1052765e-05,38.12423,0.0014445536151508204
64,38.124554,0.00022403646,21.380096,0.0,38.124554,0.00022403648,-71.90289,3.1134223e-05,38.124554,0.0014483128166050978
65,38.124878,0.00022450293,21.38375,0.0,38.124878,0.00022450295,-71.88833,3.1215834e-05,38.124878,0.0014520822780412605
66,38.125202,0.0002249708,21.387407,0.0,38.125202,0.00022497072,-71.87376,3.1297655e-05,38.125202,0.0014558607842868148
67,38.125526,0.00022544093,21.391064,0.0,38.125526,0.00022544099,-71.85919,3.1379666e-05,38.125526,0.001459648354897249
68,38.12585,0.00022591033,21.39472,0.0,38.12585,0.00022591035,-71.84463,3.1461892e-05,38.12585,0.0014634450094646108
69,38.126175,0.00022638049,21.398376,0.0,38.126175,0.00022638054,-71.830055,3.1544332e-05,38.126175,0.0014672507676175587
70,38.1265,0.0002268514,21.40203,0.0,38.1265,0.00022685142,-71.81548,3.1626987e-05,38.1265,0.0014710643934500534
71,38.126823,0.00022732375,21.405687,0.0,38.126823,0.0002273237,-71.80092,3.170977e-05,38.126823,0.0014748884147980543
72,38.127148,0.00022779619,21.409344,0.0,38.127148,0.00022779618,-71.78635,3.1792828e-05,38.127148,0.001478721598831335
73,38.12747,0.0002282644,21.413,0.0,38.12747,0.0002282644,-71.77178,3.1876014e-05,38.12747,0.0014825184397648794
74,38.127792,0.00022873859,21.416655,0.0,38.127792,0.00022873862,-71.75721,3.1959476e-05,38.127792,0.0014863698995138698
75,38.128117,0.00022921331,21.420311,0.0,38.128117,0.00022921314,-71.742645,3.204307e-05,38.128117,0.0014902305811506208
76,38.12844,0.00022969035,21.423967,0.0,38.12844,0.00022969025,-71.72807,3.2126907e-05,38.12844,0.0014940992308762537
77,38.12877,0.00023017277,21.427624,0.0,38.12877,0.00023017274,-71.71351,3.2210937e-05,38.12877,0.0014980243759472498
78,38.12909,0.00023064454,21.43128,0.0,38.12909,0.00023064457,-71.69894,3.2295186e-05,38.12909,0.001501866876645527
79,38.129414,0.000231123,21.434935,0.0,38.129414,0.00023112289,-71.68437,3.2379594e-05,38.129414,0.0015057646420030323
80,38.129738,0.00023160203,21.438591,0.0,38.129738,0.00023160211,-71.6698,3.2464253e-05,38.129738,0.0015096717290427036
81,38.130062,0.00023208247,21.442247,0.0,38.130062,0.00023208231,-71.655235,3.254907e-05,38.130062,0.001513586868847196
82,38.130386,0.00023256238,21.445902,0.0,38.130386,0.00023256235,-71.64066,3.263414e-05,38.130386,0.001517512656422926
83,38.13071,0.00023304505,21.449558,0.0,38.13071,0.00023304498,-71.62609,3.2719432e-05,38.13071,0.0015214478260014487
84,38.131035,0.00023352649,21.453215,0.0,38.131035,0.00023352649,-71.61153,3.2804855e-05,38.131035,0.0015253923977666126
85,38.13136,0.00023400981,21.45687,0.0,38.13136,0.00023400973,-71.596954,3.2890533e-05,38.13136,0.0015293463919397441
86,38.131683,0.00023449415,21.460527,0.0,38.131683,0.00023449425,-71.58239,3.297637e-05,38.131683,0.0015333098287797042
87,38.132008,0.00023497881,21.464182,0.0,38.132008,0.00023497877,-71.567825,3.306243e-05,38.132008,0.0015372814210101254
88,38.13233,0.00023546537,21.467838,0.0,38.13233,0.0002354654,-71.55325,3.314875e-05,38.13233,0.001541263800989927
