,grid_nre,pdf_nre,grid_pseudo,pdf_pseudo,grid_nre_corrected,pdf_nre_corrected,grid_prior,pdf_prior,grid_true,pdf_true
0,38.115818,0.0013214275,-35.255524,0.0,38.115818,0.0015763785,-72.83528,2.630126e-05,38.103813,0.0012251403473063003
1,38.11615,0.0013244416,-35.245056,0.0,38.11615,0.0015799823,-72.82071,2.6371159e-05,38.104137,0.0012283702942600004
2,38.116486,0.0013274974,-35.234585,0.0,38.116486,0.0015836359,-72.806145,2.6441143e-05,38.10446,0.0012316070431012509
3,38.116817,0.0013305324,-35.224117,0.0,38.116817,0.0015872641,-72.79157,2.6511361e-05,38.104786,0.0012348527398920973
4,38.117153,0.0013336072,-35.21365,0.0,38.117153,0.0015909403,-72.77701,2.6581718e-05,38.10511,0.001238106338916958
5,38.11749,0.001336674,-35.203182,0.0,38.11749,0.0015946064,-72.76244,2.6652258e-05,38.105434,0.0012413678575693018
6,38.11782,0.0013397209,-35.192715,0.0,38.11782,0.001598249,-72.74787,2.6722963e-05,38.10576,0.0012446373132759061
7,38.118153,0.0013427734,-35.182243,0.0,38.118153,0.0016018993,-72.7333,2.679388e-05,38.106083,0.0012479136448013157
8,38.11849,0.0013458625,-35.171776,0.0,38.11849,0.0016055928,-72.718735,2.6864933e-05,38.106407,0.001251199024406744
9,38.11882,0.0013489189,-35.16131,0.0,38.11882,0.0016092466,-72.70416,2.69362e-05,38.10673,0.0012544923935413688
10,38.119156,0.0013520285,-35.150837,0.0,38.119156,0.0016129651,-72.6896,2.700758e-05,38.10705,0.0012577546533379179
11,38.119488,0.0013550982,-35.14037,0.0,38.119488,0.0016166347,-72.675026,2.70792e-05,38.107376,0.0012610639591763746
12,38.11982,0.0013581741,-35.1299,0.0,38.11982,0.0016203129,-72.66046,2.7150934e-05,38.1077,0.0012643813071175171
13,38.120155,0.0013612942,-35.11943,0.0,38.120155,0.001624043,-72.64589,2.7222883e-05,38.108025,0.001267706714822315
14,38.12049,0.0013644212,-35.108967,0.0,38.12049,0.0016277815,-72.631325,2.729497e-05,38.108353,0.0012710786007655089
15,38.120823,0.0013675119,-35.098495,0.0,38.120823,0.0016314766,-72.61675,2.73673e-05,38.108673,0.0012743806805219392
16,38.12116,0.0013706513,-35.088028,0.0,38.12116,0.0016352313,-72.60219,2.7439743e-05,38.108997,0.0012777303711510558
17,38.12149,0.0013737594,-35.07756,0.0,38.12149,0.001638947,-72.587616,2.7512404e-05,38.10932,0.001281088192519547
18,38.121822,0.0013768666,-35.06709,0.0,38.121822,0.0016426618,-72.57305,2.7585233e-05,38.109646,0.0012844541624574787
19,38.122158,0.0013800209,-35.05662,0.0,38.122158,0.0016464343,-72.55848,2.7658252e-05,38.10997,0.0012878271883015407
20,38.12249,0.0013831429,-35.046154,0.0,38.12249,0.0016501668,-72.54391,2.773144e-05,38.110294,0.0012912095063111182
21,38.122826,0.0013863057,-35.035686,0.0,38.122826,0.0016539489,-72.52934,2.7804796e-05,38.11062,0.001294600026578497
22,38.123158,0.0013894372,-35.025215,0.0,38.123158,0.0016576926,-72.51477,2.7878343e-05,38.110943,0.0012979987670699465
23,38.123493,0.0013926211,-35.014748,0.0,38.123493,0.0016614997,-72.500206,2.7952032e-05,38.111267,0.0013014057457859185
24,38.123825,0.0013957589,-35.00428,0.0,38.123825,0.0016652506,-72.48564,2.8025917e-05,38.11159,0.0013048209807611014
25,38.12416,0.0013989513,-34.993813,0.0,38.12416,0.0016690687,-72.47107,2.8100023e-05,38.111916,0.001308243363288947
26,38.124493,0.0014021101,-34.98334,0.0,38.124493,0.0016728457,-72.4565,2.81743e-05,38.11224,0.0013116751622948525
27,38.12483,0.0014053074,-34.972874,0.0,38.12483,0.0016766683,-72.44193,2.8248716e-05,38.112564,0.0013151152718639903
28,38.12516,0.0014084745,-34.962406,0.0,38.12516,0.0016804566,-72.42736,2.8323358e-05,38.11289,0.0013185637101684948
29,38.125492,0.0014116515,-34.95194,0.0,38.125492,0.0016842553,-72.412796,2.8398143e-05,38.11321,0.0013219795378375118
30,38.125828,0.0014148653,-34.941467,0.0,38.125828,0.0016880973,-72.398224,2.8473152e-05,38.113533,0.0013254445891641405
31,38.12616,0.0014180581,-34.931,0.0,38.12616,0.001691915,-72.38366,2.8548306e-05,38.113857,0.001328916880527804
32,38.126495,0.0014212783,-34.920532,0.0,38.126495,0.001695766,-72.36909,2.8623657e-05,38.114185,0.001332439969388227
33,38.12683,0.001424514,-34.910065,0.0,38.12683,0.0016996358,-72.35452,2.869918e-05,38.11451,0.0013359303223897461
34,38.127163,0.0014277155,-34.899597,0.0,38.127163,0.0017034633,-72.33995,2.877493e-05,38.11483,0.0013393876586508579
35,38.127495,0.0014309271,-34.889126,0.0,38.127495,0.001707304,-72.325386,2.8850796e-05,38.115154,0.0013428948068542324
36,38.12783,0.0014341854,-34.87866,0.0,38.12783,0.0017111995,-72.310814,2.892692e-05,38.11548,0.0013464092731023192
37,38.128162,0.001437404,-34.86819,0.0,38.128162,0.001715049,-72.29625,2.9003186e-05,38.115803,0.0013499333872626122
38,38.128498,0.001440668,-34.85772,0.0,38.128498,0.0017189529,-72.28168,2.9079656e-05,38.116127,0.001353466013553874
39,38.12883,0.0014439011,-34.84725,0.0,38.12883,0.0017228181,-72.267105,2.9156325e-05,38.11645,0.0013570071705301151
40,38.12916,0.0014471351,-34.836784,0.0,38.12916,0.0017266864,-72.25254,2.9233142e-05,38.116776,0.0013605568767804145
41,38.129498,0.001450418,-34.826317,0.0,38.129498,0.0017306122,-72.237976,2.9310133e-05,38.1171,0.0013641151509289743
42,38.129833,0.0014537118,-34.81585,0.0,38.129833,0.0017345501,-72.223404,2.9387356e-05,38.117424,0.0013676808376842178
43,38.130165,0.0014569636,-34.805378,0.0,38.130165,0.0017384394,-72.20884,2.9464725e-05,38.11775,0.001371256300810765
44,38.1305,0.0014602703,-34.79491,0.0,38.1305,0.001742393,-72.19427,2.9542354e-05,38.118073,0.0013748403879132731
45,38.130833,0.0014635326,-34.784443,0.0,38.130833,0.0017462948,-72.179695,2.962013e-05,38.118397,0.0013784331177569475
46,38.13117,0.0014668512,-34.77397,0.0,38.13117,0.001750263,-72.16513,2.9698085e-05,38.11872,0.0013820345091423787
47,38.1315,0.001470129,-34.763504,0.0,38.1315,0.0017541836,-72.15056,2.9776244e-05,38.119045,0.0013856433927343897
48,38.131832,0.0014734196,-34.753036,0.0,38.131832,0.0017581184,-72.135994,2.985458e-05,38.119366,0.0013892192842866469
49,38.132168,0.0014767487,-34.742565,0.0,38.132168,0.0017620993,-72.12142,2.9933122e-05,38.11969,0.001392846667302439
50,38.132504,0.0014800832,-34.7321,0.0,38.132504,0.0017660867,-72.10686,3.0011814e-05,38.120018,0.0013965258705766102
51,38.132835,0.0014833913,-34.72163,0.0,38.132835,0.0017700437,-72.092285,3.009077e-05,38.120342,0.001400170850040371
52,38.13317,0.0014867372,-34.711163,0.0,38.13317,0.0017740449,-72.07772,3.0169847e-05,38.120667,0.0014038234020425616
53,38.133503,0.0014900573,-34.700695,0.0,38.133503,0.0017780152,-72.06315,3.024916e-05,38.12099,0.0014074859478322584
54,38.133835,0.0014933805,-34.690224,0.0,38.133835,0.00178199,-72.048584,3.0328625e-05,38.12131,0.0014111138071944596
55,38.13417,0.0014967461,-34.679756,0.0,38.13417,0.0017860146,-72.03401,3.0408328e-05,38.121635,0.001414793893897272
56,38.134502,0.0015000814,-34.66929,0.0,38.134502,0.0017900039,-72.01945,3.0488181e-05,38.12196,0.0014184828318660812
57,38.13484,0.0015034657,-34.658817,0.0,38.13484,0.0017940508,-72.004875,3.0568244e-05,38.122284,0.001422180640293768
58,38.13517,0.0015068138,-34.64835,0.0,38.13517,0.0017980548,-71.9903,3.064855e-05,38.12261,0.0014258873384092382
59,38.135506,0.0015102089,-34.637882,0.0,38.135506,0.0018021157,-71.97574,3.0728974e-05,38.122932,0.0014296017225759229
60,38.135838,0.0015135641,-34.627415,0.0,38.135838,0.0018061288,-71.961174,3.080961e-05,38.123257,0.0014333262549598574
61,38.136173,0.0015169759,-34.616947,0.0,38.136173,0.0018102095,-71.9466,3.089049e-05,38.12358,0.0014370597349285929
62,38.136505,0.0015203462,-34.606476,0.0,38.136505,0.0018142404,-71.93204,3.097152e-05,38.123905,0.0014408021818556457
63,38.13684,0.0015237632,-34.59601,0.0,38.13684,0.0018183263,-71.917465,3.1052765e-05,38.12423,0.0014445536151508204
64,38.137173,0.0015271469,-34.58554,0.0,38.137173,0.001822373,-71.90289,3.1134223e-05,38.124554,0.0014483128166050978
65,38.137505,0.0015305405,-34.57507,0.0,38.137505,0.001826432,-71.88833,3.1215834e-05,38.124878,0.0014520822780412605
66,38.13784,0.0015339744,-34.5646,0.0,38.13784,0.0018305387,-71.87376,3.1297655e-05,38.125202,0.0014558607842868148
67,38.138172,0.0015373788,-34.554134,0.0,38.138172,0.001834611,-71.85919,3.1379666e-05,38.125526,0.001459648354897249
68,38.138508,0.0015408237,-34.543667,0.0,38.138508,0.0018387315,-71.84463,3.1461892e-05,38.12585,0.0014634450094646108
69,38.138844,0.0015442815,-34.5332,0.0,38.138844,0.0018428667,-71.830055,3.1544332e-05,38.126175,0.0014672507676175587
70,38.139175,0.0015476954,-34.522728,0.0,38.139175,0.001846951,-71.81548,3.1626987e-05,38.1265,0.0014710643934500534
71,38.139507,0.0015511331,-34.51226,0.0,38.139507,0.0018510619,-71.80092,3.170977e-05,38.126823,0.0014748884147980543
72,38.139843,0.0015546008,-34.501793,0.0,38.139843,0.0018552094,-71.78635,3.1792828e-05,38.127148,0.001478721598831335
73,38.140175,0.0015580441,-34.49132,0.0,38.140175,0.001859329,-71.77178,3.1876014e-05,38.12747,0.0014825184397648794
74,38.14051,0.0015615339,-34.480854,0.0,38.14051,0.0018635013,-71.75721,3.1959476e-05,38.127792,0.0014863698995138698
