,grid_nre,pdf_nre,grid_pseudo,pdf_pseudo,grid_nre_corrected,pdf_nre_corrected,grid_prior,pdf_prior,grid_true,pdf_true
0,38.027798,0.0015279744,-72.83528,2.6301255e-05,38.027798,0.0015322526,-72.83528,2.630126e-05,38.103813,0.0012251403473063003
1,38.02814,0.0015316049,-72.82071,2.6371128e-05,38.02814,0.0015358932,-72.82071,2.6371159e-05,38.104137,0.0012283702942600004
2,38.028484,0.0015352485,-72.806145,2.644115e-05,38.028484,0.0015395469,-72.806145,2.6441143e-05,38.10446,0.0012316070431012509
3,38.028828,0.0015388986,-72.79157,2.6511369e-05,38.028828,0.0015432059,-72.79157,2.6511361e-05,38.104786,0.0012348527398920973
4,38.02917,0.0015425535,-72.77701,2.6581713e-05,38.02917,0.0015468708,-72.77701,2.6581718e-05,38.10511,0.001238106338916958
5,38.029514,0.0015462209,-72.76244,2.6652251e-05,38.029514,0.0015505482,-72.76244,2.6652258e-05,38.105434,0.0012413678575693018
6,38.029858,0.0015498851,-72.74787,2.6722986e-05,38.029858,0.0015542223,-72.74787,2.6722963e-05,38.10576,0.0012446373132759061
7,38.0302,0.0015535759,-72.7333,2.6793896e-05,38.0302,0.0015579227,-72.7333,2.679388e-05,38.106083,0.0012479136448013157
8,38.030544,0.0015572673,-72.718735,2.6864931e-05,38.030544,0.0015616232,-72.718735,2.6864933e-05,38.106407,0.001251199024406744
9,38.030888,0.0015609629,-72.70416,2.6936188e-05,38.030888,0.001565329,-72.70416,2.69362e-05,38.10673,0.0012544923935413688
10,38.03123,0.0015646741,-72.6896,2.7007572e-05,38.03123,0.0015690508,-72.6896,2.700758e-05,38.10705,0.0012577546533379179
11,38.031574,0.0015683828,-72.675026,2.707918e-05,38.031574,0.0015727695,-72.675026,2.70792e-05,38.107376,0.0012610639591763746
12,38.031918,0.0015721056,-72.66046,2.7150938e-05,38.031918,0.0015765014,-72.66046,2.7150934e-05,38.1077,0.0012643813071175171
13,38.03226,0.0015758341,-72.64589,2.7222895e-05,38.03226,0.0015802406,-72.64589,2.7222883e-05,38.108025,0.001267706714822315
14,38.032604,0.0015795829,-72.631325,2.7294982e-05,38.032604,0.0015839998,-72.631325,2.729497e-05,38.108353,0.0012710786007655089
15,38.032948,0.0015833247,-72.61675,2.7367294e-05,38.032948,0.0015877507,-72.61675,2.73673e-05,38.108673,0.0012743806805219392
16,38.03329,0.0015870793,-72.60219,2.7439757e-05,38.03329,0.0015915149,-72.60219,2.7439743e-05,38.108997,0.0012777303711510558
17,38.033634,0.0015908403,-72.587616,2.7512422e-05,38.033634,0.0015952869,-72.587616,2.7512404e-05,38.10932,0.001281088192519547
18,38.033978,0.0015946149,-72.57305,2.7585216e-05,38.033978,0.0015990711,-72.57305,2.7585233e-05,38.109646,0.0012844541624574787
19,38.03432,0.0015983877,-72.55848,2.7658238e-05,38.03432,0.0016028542,-72.55848,2.7658252e-05,38.10997,0.0012878271883015407
20,38.034664,0.0016021795,-72.54391,2.7731438e-05,38.034664,0.0016066564,-72.54391,2.773144e-05,38.110294,0.0012912095063111182
21,38.035007,0.0016059771,-72.52934,2.7804766e-05,38.035007,0.001610463,-72.52934,2.7804796e-05,38.11062,0.001294600026578497
22,38.035347,0.0016097416,-72.51477,2.7878325e-05,38.035347,0.0016142381,-72.51477,2.7878343e-05,38.110943,0.0012979987670699465
23,38.035694,0.0016135979,-72.500206,2.7952037e-05,38.035694,0.0016181051,-72.500206,2.7952032e-05,38.111267,0.0013014057457859185
24,38.036037,0.0016174034,-72.48564,2.8025906e-05,38.036037,0.0016219205,-72.48564,2.8025917e-05,38.11159,0.0013048209807611014
25,38.03638,0.0016212363,-72.47107,2.8100005e-05,38.03638,0.0016257635,-72.47107,2.8100023e-05,38.111916,0.001308243363288947
26,38.036724,0.0016250691,-72.4565,2.8174283e-05,38.036724,0.0016296067,-72.4565,2.81743e-05,38.11224,0.0013116751622948525
27,38.037067,0.0016289132,-72.44193,2.8248718e-05,38.037067,0.0016334606,-72.44193,2.8248716e-05,38.112564,0.0013151152718639903
28,38.03741,0.0016327664,-72.42736,2.832336e-05,38.03741,0.0016373245,-72.42736,2.8323358e-05,38.11289,0.0013185637101684948
29,38.03775,0.0016365773,-72.412796,2.8398135e-05,38.03775,0.0016411457,-72.412796,2.8398143e-05,38.11321,0.0013219795378375118
30,38.038094,0.0016404439,-72.398224,2.8473141e-05,38.038094,0.0016450224,-72.398224,2.8473152e-05,38.113533,0.0013254445891641405
31,38.038437,0.0016443174,-72.38366,2.8548282e-05,38.038437,0.0016489062,-72.38366,2.8548306e-05,38.113857,0.001328916880527804
32,38.038784,0.0016482479,-72.36909,2.8623654e-05,38.038784,0.0016528473,-72.36909,2.8623657e-05,38.114185,0.001332439969388227
33,38.039127,0.0016521319,-72.35452,2.8699185e-05,38.039127,0.001656741,-72.35452,2.869918e-05,38.11451,0.0013359303223897461
34,38.03947,0.0016560314,-72.33995,2.8774926e-05,38.03947,0.0016606515,-72.33995,2.877493e-05,38.11483,0.0013393876586508579
35,38.039814,0.0016599408,-72.325386,2.88508e-05,38.039814,0.0016645716,-72.325386,2.8850796e-05,38.115154,0.0013428948068542324
36,38.040157,0.0016638509,-72.310814,2.892691e-05,38.040157,0.001668492,-72.310814,2.892692e-05,38.11548,0.0013464092731023192
37,38.040497,0.001667731,-72.29625,2.900318e-05,38.040497,0.001672382,-72.29625,2.9003186e-05,38.115803,0.0013499333872626122
38,38.04084,0.0016716601,-72.28168,2.9079662e-05,38.04084,0.0016763223,-72.28168,2.9079656e-05,38.116127,0.001353466013553874
39,38.041183,0.0016756001,-72.267105,2.9156328e-05,38.041183,0.0016802716,-72.267105,2.9156325e-05,38.11645,0.0013570071705301151
40,38.041527,0.0016795446,-72.25254,2.9233131e-05,38.041527,0.0016842264,-72.25254,2.9233142e-05,38.116776,0.0013605568767804145
41,38.041874,0.0016835392,-72.237976,2.9310122e-05,38.041874,0.0016882328,-72.237976,2.9310133e-05,38.1171,0.0013641151509289743
42,38.042217,0.001687508,-72.223404,2.938735e-05,38.042217,0.0016922116,-72.223404,2.9387356e-05,38.117424,0.0013676808376842178
43,38.04256,0.0016914756,-72.20884,2.946474e-05,38.04256,0.0016961901,-72.20884,2.9464725e-05,38.11775,0.001371256300810765
44,38.0429,0.001695409,-72.19427,2.9542345e-05,38.0429,0.0017001331,-72.19427,2.9542354e-05,38.118073,0.0013748403879132731
45,38.043243,0.001699396,-72.179695,2.9620138e-05,38.043243,0.0017041317,-72.179695,2.962013e-05,38.118397,0.0013784331177569475
46,38.043587,0.0017033891,-72.16513,2.9698067e-05,38.043587,0.001708136,-72.16513,2.9698085e-05,38.11872,0.0013820345091423787
47,38.04393,0.0017073867,-72.15056,2.9776238e-05,38.04393,0.0017121434,-72.15056,2.9776244e-05,38.119045,0.0013856433927343897
48,38.044273,0.0017114036,-72.135994,2.9854575e-05,38.044273,0.0017161707,-72.135994,2.985458e-05,38.119366,0.0013892192842866469
49,38.044617,0.0017154143,-72.12142,2.9933126e-05,38.044617,0.001720192,-72.12142,2.9933122e-05,38.11969,0.001392846667302439
50,38.044964,0.0017194935,-72.10686,3.0011815e-05,38.044964,0.0017242822,-72.10686,3.0011814e-05,38.120018,0.0013965258705766102
51,38.045303,0.0017234837,-72.092285,3.0090749e-05,38.045303,0.0017282834,-72.092285,3.009077e-05,38.120342,0.001400170850040371
52,38.045647,0.0017275269,-72.07772,3.0169822e-05,38.045647,0.0017323367,-72.07772,3.0169847e-05,38.120667,0.0014038234020425616
53,38.04599,0.0017315763,-72.06315,3.0249139e-05,38.04599,0.0017363969,-72.06315,3.024916e-05,38.12099,0.0014074859478322584
54,38.046333,0.0017356375,-72.048584,3.0328622e-05,38.046333,0.001740469,-72.048584,3.0328625e-05,38.12131,0.0014111138071944596
55,38.046677,0.0017397059,-72.03401,3.0408322e-05,38.046677,0.0017445488,-72.03401,3.0408328e-05,38.121635,0.001414793893897272
56,38.04702,0.0017437788,-72.01945,3.0488165e-05,38.04702,0.0017486322,-72.01945,3.0488181e-05,38.12196,0.0014184828318660812
57,38.047363,0.0017478697,-72.004875,3.0568255e-05,38.047363,0.0017527341,-72.004875,3.0568244e-05,38.122284,0.001422180640293768
58,38.047707,0.0017519625,-71.9903,3.0648538e-05,38.047707,0.0017568376,-71.9903,3.064855e-05,38.12261,0.0014258873384092382
59,38.04805,0.0017560616,-71.97574,3.072899e-05,38.04805,0.001760948,-71.97574,3.0728974e-05,38.122932,0.0014296017225759229
60,38.048393,0.001760172,-71.961174,3.0809606e-05,38.048393,0.0017650686,-71.961174,3.080961e-05,38.123257,0.0014333262549598574
61,38.048737,0.0017642919,-71.9466,3.0890475e-05,38.048737,0.0017691997,-71.9466,3.089049e-05,38.12358,0.0014370597349285929
62,38.04908,0.0017684249,-71.93204,3.0971485e-05,38.04908,0.0017733434,-71.93204,3.097152e-05,38.123905,0.0014408021818556457
63,38.049423,0.00177256,-71.917465,3.1052743e-05,38.049423,0.0017774903,-71.917465,3.1052765e-05,38.12423,0.0014445536151508204
64,38.049767,0.0017767021,-71.90289,3.11342e-05,38.049767,0.001781643,-71.90289,3.1134223e-05,38.124554,0.0014483128166050978
65,38.05011,0.0017808608,-71.88833,3.1215826e-05,38.05011,0.0017858127,-71.88833,3.1215834e-05,38.124878,0.0014520822780412605
66,38.050453,0.0017850138,-71.87376,3.1297677e-05,38.050453,0.001789978,-71.87376,3.1297655e-05,38.125202,0.0014558607842868148
67,38.050797,0.0017891835,-71.85919,3.137967e-05,38.050797,0.0017941584,-71.85919,3.1379666e-05,38.125526,0.001459648354897249
68,38.05114,0.0017933679,-71.84463,3.1461892e-05,38.05114,0.0017983532,-71.84463,3.1461892e-05,38.12585,0.0014634450094646108
69,38.051483,0.0017975544,-71.830055,3.1544336e-05,38.051483,0.0018025507,-71.830055,3.1544332e-05,38.126175,0.0014672507676175587
70,38.051826,0.0018017507,-71.81548,3.162698e-05,38.051826,0.0018067579,-71.81548,3.1626987e-05,38.1265,0.0014710643934500534
71,38.05217,0.0018059534,-71.80092,3.170977e-05,38.05217,0.0018109721,-71.80092,3.170977e-05,38.126823,0.0014748884147980543
72,38.052513,0.0018101677,-71.78635,3.1792817e-05,38.052513,0.0018151968,-71.78635,3.1792828e-05,38.127148,0.001478721598831335
73,38.052856,0.0018143882,-71.77178,3.1876007e-05,38.052856,0.0018194288,-71.77178,3.1876014e-05,38.12747,0.0014825184397648794
74,38.0532,0.0018186186,-71.75721,3.195945e-05,38.0532,0.0018236708,-71.75721,3.1959476e-05,38.127792,0.0014863698995138698
75,38.053543,0.0018228554,-71.742645,3.204307e-05,38.053543,0.0018279195,-71.742645,3.204307e-05,38.128117,0.0014902305811506208
76,38.053886,0.0018271098,-71.72807,3.212692e-05,38.053886,0.0018321843,-71.72807,3.2126907e-05,38.12844,0.0014940992308762537
77,38.05423,0.0018313691,-71.71351,3.2210915e-05,38.05423,0.0018364555,-71.71351,3.2210937e-05,38.12877,0.0014980243759472498
78,38.054573,0.001835633,-71.69894,3.229517e-05,38.054573,0.00184073,-71.69894,3.2295186e-05,38.12909,0.001501866876645527
79,38.054916,0.0018399068,-71.68437,3.23796e-05,38.054916,0.001845016,-71.68437,3.2379594e-05,38.129414,0.0015057646420030323
80,38.05526,0.0018441896,-71.6698,3.246426e-05,38.05526,0.0018493088,-71.6698,3.2464253e-05,38.129738,0.0015096717290427036
81,38.055603,0.0018484913,-71.655235,3.254907e-05,38.055603,0.0018536216,-71.655235,3.254907e-05,38.130062,0.001513586868847196
82,38.055946,0.0018527888,-71.64066,3.263414e-05,38.055946,0.0018579315,-71.64066,3.263414e-05,38.130386,0.001517512656422926
83,38.05629,0.0018571069,-71.62609,3.2719414e-05,38.05629,0.0018622617,-71.62609,3.2719432e-05,38.13071,0.0015214478260014487
84,38.056633,0.0018614245,-71.61153,3.2804837e-05,38.056633,0.0018665898,-71.61153,3.2804855e-05,38.131035,0.0015253923977666126
85,38.056976,0.0018657477,-71.596954,3.2890523e-05,38.056976,0.0018709255,-71.596954,3.2890533e-05,38.13136,0.0015293463919397441
86,38.05732,0.0018700846,-71.58239,3.2976386e-05,38.05732,0.0018752726,-71.58239,3.297637e-05,38.131683,0.0015333098287797042
87,38.057663,0.0018744314,-71.567825,3.3062428e-05,38.057663,0.0018796315,-71.567825,3.306243e-05,38.132008,0.0015372814210101254
88,38.058006,0.001878783,-71.55325,3.3148735e-05,38.058006,0.001883994,-71.55325,3.314875e-05,38.13233,0.001541263800989927
89,38.05835,0.0018831528,-71.53868,3.3235247e-05,38.05835,0.0018883755,-71.53868,3.323526e-05,38.132656,0.0015452556846321784
90,38.058693,0.0018875317,-71.52412,3.332194e-05,38.058693,0.0018927655,-71.52412,3.3321932e-05,38.13298,0.001549257092346406
91,38.059036,0.0018919101,-71.509544,3.340887e-05,38.059036,0.0018971564,-71.509544,3.3408865e-05,38.133305,0.001553268044579943
92,38.05938,0.0018962987,-71.49498,3.349595e-05,38.05938,0.0019015564,-71.49498,3.349596e-05,38.133625,0.0015572409257249712
93,38.059723,0.0019007028,-71.48041,3.35833e-05,38.059723,0.0019059725,-71.48041,3.3583314e-05,38.13395,0.0015612695885722813
94,38.060062,0.0019050636,-71.46584,3.36708e-05,38.060062,0.0019103436,-71.46584,3.367083e-05,38.134274,0.0015653091804636167
95,38.06041,0.0019095346,-71.45127,3.3758566e-05,38.06041,0.0019148279,-71.45127,3.3758573e-05,38.1346,0.0015694063762535927
96,38.060753,0.001913964,-71.43671,3.3846518e-05,38.060753,0.0019192682,-71.43671,3.3846518e-05,38.134926,0.0015734653559459704
97,38.061096,0.0019184,-71.422134,3.3934706e-05,38.061096,0.0019237167,-71.422134,3.393472e-05,38.135246,0.0015774857973448236
98,38.06144,0.0019228491,-71.40757,3.402305e-05,38.06144,0.0019281781,-71.40757,3.4023054e-05,38.13557,0.0015815640189572175
99,38.061783,0.0019273085,-71.393,3.4111665e-05,38.061783,0.0019326485,-71.393,3.4111687e-05,38.135895,0.0015856506043549735
100,38.062126,0.0019317745,-71.37843,3.4200464e-05,38.062126,0.0019371264,-71.37843,3.420045e-05,38.13622,0.001589748261980914
101,38.062466,0.0019361929,-71.36386,3.4289504e-05,38.062466,0.0019415563,-71.36386,3.4289475e-05,38.136543,0.0015938556704305148
102,38.06281,0.0019406842,-71.34929,3.4378754e-05,38.06281,0.0019460601,-71.34929,3.4378736e-05,38.136868,0.0015979728505701282
103,38.063152,0.0019451756,-71.334724,3.4468165e-05,38.063152,0.001950562,-71.334724,3.446816e-05,38.13719,0.001602099823304573
104,38.0635,0.0019497267,-71.32016,3.4557786e-05,38.0635,0.0019551257,-71.32016,3.4557786e-05,38.137516,0.0016062352480721218
105,38.063843,0.001954241,-71.30559,3.4647685e-05,38.063843,0.0019596522,-71.30559,3.464771e-05,38.13784,0.0016103818656284634
106,38.064186,0.0019587611,-71.29102,3.4737765e-05,38.064186,0.0019641828,-71.29102,3.4737768e-05,38.138165,0.0016145383387185285
107,38.06453,0.0019632897,-71.27645,3.4828092e-05,38.06453,0.0019687244,-71.27645,3.4828096e-05,38.13849,0.0016187046884015425
108,38.064873,0.0019678401,-71.26188,3.4918638e-05,38.064873,0.0019732872,-71.26188,3.4918623e-05,38.138813,0.0016228809357754748
109,38.065212,0.001972337,-71.247314,3.5009336e-05,38.065212,0.0019777957,-71.247314,3.5009354e-05,38.139137,0.001627065724221986
110,38.065556,0.0019768989,-71.23274,3.5100315e-05,38.065556,0.00198237,-71.23274,3.510032e-05,38.13946,0.001631261827155841
111,38.0659,0.0019814705,-71.21818,3.5191482e-05,38.0659,0.0019869527,-71.21818,3.5191486e-05,38.139782,0.001635418057066664
112,38.066242,0.0019860459,-71.203606,3.5282894e-05,38.066242,0.0019915407,-71.203606,3.528289e-05,38.140106,0.0016396339854156323
113,38.066586,0.0019906347,-71.18903,3.5374527e-05,38.066586,0.0019961412,-71.18903,3.5374534e-05,38.14043,0.0016438599172692453
114,38.066933,0.0019952876,-71.17447,3.5466317e-05,38.066933,0.002000807,-71.17447,3.5466313e-05,38.14076,0.0016481460637299012
115,38.067276,0.0019998911,-71.159904,3.555833e-05,38.067276,0.0020054218,-71.159904,3.555836e-05,38.141083,0.0016523907881580062
116,38.067616,0.0020044623,-71.14533,3.565062e-05,38.067616,0.0020100058,-71.14533,3.5650653e-05,38.141403,0.0016565965466055813
117,38.06796,0.0020090928,-71.13077,3.57431e-05,38.06796,0.0020146477,-71.13077,3.5743113e-05,38.141727,0.0016608627028604763
118,38.068302,0.0020137243,-71.116196,3.5835834e-05,38.068302,0.0020192922,-71.116196,3.583585e-05,38.14205,0.0016651389696604368
119,38.068645,0.0020183723,-71.10163,3.5928726e-05,38.068645,0.0020239532,-71.10163,3.5928722e-05,38.142376,0.001669425368532793
120,38.06899,0.002023036,-71.08706,3.6021902e-05,38.06899,0.002028628,-71.08706,3.6021906e-05,38.1427,0.0016737219210442862
121,38.069332,0.0020276918,-71.07249,3.61153e-05,38.069332,0.0020332963,-71.07249,3.6115296e-05,38.143024,0.0016780272313715017
122,38.069675,0.002032371,-71.05792,3.620889e-05,38.069675,0.0020379885,-71.05792,3.6208858e-05,38.14335,0.0016823441526638235
123,38.070023,0.0020371077,-71.04336,3.6302674e-05,38.070023,0.0020427369,-71.04336,3.6302663e-05,38.143673,0.0016866712925254028
124,38.070362,0.0020417525,-71.028786,3.639674e-05,38.070362,0.0020473944,-71.028786,3.6396745e-05,38.143997,0.0016910086726811752
125,38.070705,0.002046469,-71.01422,3.6490972e-05,38.070705,0.0020521241,-71.01422,3.6491e-05,38.14432,0.0016953563148957695
126,38.07105,0.0020511749,-70.99965,3.658549e-05,38.07105,0.0020568417,-70.99965,3.6585505e-05,38.144646,0.0016997128066955898
127,38.071392,0.0020559016,-70.98508,3.6680234e-05,38.071392,0.002061581,-70.98508,3.668025e-05,38.14497,0.0017040810350893642
128,38.071735,0.002060639,-70.97051,3.677517e-05,38.071735,0.00206633,-70.97051,3.677517e-05,38.145294,0.0017084595910673618
129,38.07208,0.0020653924,-70.95594,3.6870366e-05,38.07208,0.0020710956,-70.95594,3.6870337e-05,38.14562,0.00171284849655353
130,38.072422,0.002070143,-70.941376,3.6965725e-05,38.072422,0.0020758593,-70.941376,3.696575e-05,38.14594,0.001717195650333964
131,38.072765,0.0020749122,-70.9268,3.706137e-05,38.072765,0.0020806415,-70.9268,3.7061374e-05,38.146263,0.0017216051976397348
132,38.07311,0.0020796966,-70.91224,3.7157217e-05,38.07311,0.0020854378,-70.91224,3.7157213e-05,38.14659,0.0017260760751669601
133,38.073452,0.0020844769,-70.89767,3.725332e-05,38.073452,0.0020902313,-70.89767,3.7253332e-05,38.146915,0.0017305065952908081
134,38.073795,0.0020892734,-70.8831,3.7349593e-05,38.073795,0.0020950395,-70.8831,3.7349593e-05,38.14724,0.001734947575136019
135,38.07414,0.0020940776,-70.86853,3.7446156e-05,38.07414,0.0020998565,-70.86853,3.7446138e-05,38.147564,0.0017393990368672172
136,38.074482,0.002098889,-70.853966,3.7542883e-05,38.074482,0.0021046803,-70.853966,3.75429e-05,38.147884,0.0017438081368550923
137,38.074825,0.0021037238,-70.83939,3.7639904e-05,38.074825,0.0021095285,-70.83939,3.763991e-05,38.14821,0.0017482805043111894
138,38.07517,0.0021085644,-70.82483,3.7737125e-05,38.07517,0.002114383,-70.82483,3.7737133e-05,38.148533,0.0017527619447157776
139,38.075512,0.0021134121,-70.81026,3.7834612e-05,38.075512,0.0021192424,-70.81026,3.783461e-05,38.148857,0.0017572554277350042
140,38.075855,0.002118268,-70.795685,3.7932325e-05,38.075855,0.002124111,-70.795685,3.793234e-05,38.14918,0.001761759503796872
141,38.0762,0.002123136,-70.78112,3.803021e-05,38.0762,0.0021289913,-70.78112,3.8030244e-05,38.149506,0.0017662741953082374
142,38.07654,0.0021280185,-70.766556,3.8128357e-05,38.07654,0.0021338877,-70.766556,3.8128368e-05,38.14983,0.001770799524716612
143,38.076885,0.002132909,-70.75198,3.822677e-05,38.076885,0.0021387907,-70.75198,3.8226746e-05,38.150154,0.0017753355145102142
144,38.07723,0.0021378116,-70.73742,3.8325354e-05,38.07723,0.0021437064,-70.73742,3.8325375e-05,38.15048,0.0017798806908275234
145,38.07757,0.0021427134,-70.72285,3.8424234e-05,38.07757,0.0021486199,-70.72285,3.8424223e-05,38.150803,0.001784438065496425
146,38.077915,0.0021476285,-70.708275,3.852335e-05,38.077915,0.0021535484,-70.708275,3.8523365e-05,38.151127,0.0017890061682526014
147,38.07826,0.00215257,-70.69371,3.862264e-05,38.07826,0.0021585028,-70.69371,3.8622653e-05,38.15145,0.001793585021747666
