alpha,epsilon,method,metric,metric_value,sigma,mu0,sigma0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5
1.0,inf,ABC,C2ST,0.9953500032424927,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_stat,115.46449712399676,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,C2ST,0.5239499807357788,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_stat,6.564839489419175,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_pvalue,5.208894059770088e-11,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,C2ST,0.5209500193595886,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_stat,5.672992772002089,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_pvalue,1.4032415265940201e-08,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,1.9255778789520264,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_TRAINING,245.30616903305054,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_EVAL,8.101901054382324,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TRAIN_ACCURACY,0.9797592163085938,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TEST_ACCURACY,0.9795265197753906,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,C2ST,0.9955499768257141,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,RS_stat,116.8419038522362,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,C2ST,0.5262500047683716,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,RS_stat,-7.333139482329525,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,RS_pvalue,2.248227282731817e-13,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,CORRECTED_NRE,C2ST,0.5274999737739563,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
