alpha,epsilon,method,metric,metric_value,sigma,mu0,sigma0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5
1.0,inf,ABC,C2ST,0.996150016784668,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_stat,116.78088001510623,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_pvalue,0.0,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,C2ST,0.6396499872207642,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_stat,4.150497820243761,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_pvalue,3.3175292788083614e-05,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,C2ST,0.6449000239372253,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_stat,4.821845758671204,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_pvalue,1.422359130356664e-06,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,2.0839929580688477,1.0,0.0,20.0,5,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
