,ALPHA,EPSILON,TIME_TRAINING,TIME_SIM,TIME_METRICS,NN_TRAIN_ACCURACY,NN_TEST_ACCURACY,C2ST_ABC,C2ST_NRE,C2ST_CORRECTED_NRE,RS_stat_ABC,RS_stat_NRE,RS_stat_CORRECTED_NRE,RS_pvalue_ABC,RS_pvalue_NRE,RS_pvalue_CORRECTED_NRE
0,1.0,inf,245.30616903305054,1.9255778789520264,8.101901054382324,0.9795265,0.9795265,0.9953500032424927,0.5239499807357788,0.5209500193595886,115.46449712399676,6.564839489419175,5.672992772002089,0.0,5.208894059770088e-11,1.4032415265940201e-08
1,0.99,7436.635,235.82674193382263,1.109724998474121,8.84332799911499,0.97956085,0.97956085,0.9955499768257141,0.5262500047683716,0.5274999737739563,116.8419038522362,-7.333139482329525,-7.434119621993568,0.0,2.248227282731817e-13,1.0526667783088765e-13
2,0.9,4276.669,244.59030079841614,0.6357169151306152,7.56214714050293,0.97600937,0.97600937,0.9950000047683716,0.5349000096321106,0.5306000113487244,115.38602478289123,-8.219139413898407,-7.148246820844039,0.0,2.04968660306211e-16,8.789317343360909e-13
3,0.75,2836.507,212.4310200214386,0.6469697952270508,7.137663125991821,0.97182465,0.97182465,0.9934499859809875,0.5129500031471252,0.5084499716758728,115.10106194443236,4.136190708329491,3.1837316577717516,0.0,3.531187555401381e-05,0.0014538972465470842
4,0.5,1579.4377,224.88661813735962,0.6851711273193359,7.447979211807251,0.96297836,0.96297836,0.9908000230789185,0.5212500095367432,0.511900007724762,111.60831895911181,-6.527445289104297,-4.107616900071331,0.0,6.69009322725276e-11,3.9976245815658225e-05
5,0.25,690.6506,215.28737688064575,0.5961811542510986,7.317981243133545,0.95282364,0.95282364,0.9843500256538391,0.5191500186920166,0.508400022983551,99.58843684631779,-6.4447035941096,-4.753485883160265,0.0,1.1582655499049656e-10,1.9993907085549866e-06
6,0.1,210.05894,205.97215795516968,0.7157618999481201,6.624601125717163,0.93912125,0.93912125,0.962149977684021,0.5010499954223633,0.5052499771118164,73.73709611647662,-1.2432233604374168,-1.213052524792148,0.0,0.21378553667652123,0.2251097394429723
7,0.05,70.14465,207.05703020095825,0.7022027969360352,7.232022047042847,0.9210472,0.9210472,0.9308000206947327,0.5109000205993652,0.5149999856948853,44.21375465011169,-3.6208015571387215,-4.962766279584019,0.0,0.0002936917181301324,6.949619147156786e-07
8,0.01,3.3594604,216.88886094093323,0.7127468585968018,8.038464069366455,0.7800064,0.7800064,0.7473499774932861,0.5141000151634216,0.517300009727478,10.476324525296814,0.04305605431073962,-2.026139093254024,1.1097310906549204e-25,0.9656568503688271,0.04275053297027822
9,0.005,0.8397964,297.58973383903503,0.6133880615234375,7.163898706436157,0.68410873,0.68410873,0.6212000250816345,0.5845500230789185,0.5119500160217285,2.888968655853032,-14.52389735964131,-4.447945395807068,0.003865075985061769,8.550713896137449e-48,8.669556037952077e-06
10,0.001,0.035730872,206.5023899078369,0.728057861328125,7.923874855041504,0.49945068,0.49945068,0.5045499801635742,0.9958999752998352,0.5078999996185303,-3.582180193141419,117.54144838693159,-3.280405702119019,0.00034073862285645087,0.0,0.0010365790976056396
11,0.0005,0.007935686,201.28131198883057,0.7686259746551514,8.43949580192566,0.49972534,0.49972534,0.5079500079154968,0.9955499768257141,0.5076500177383423,-3.765524815809952,116.85157542069939,-3.274121693282166,0.00016619961459575286,0.0,0.001059909548376756
12,0.0001,0.00035534802,210.91939115524292,0.7095470428466797,7.6810431480407715,0.4995575,0.4995575,0.4941500127315521,0.9952999949455261,0.5044500231742859,-2.133187692046231,117.18945203849879,-4.45628569987625,0.03290933237380341,0.0,8.339188097394952e-06
