alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1
1.0,inf,ABC,C2ST,0.9908499717712402,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,C2ST,0.9909499883651733,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,C2ST,0.9903500080108643,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_stat,116.25468521005314,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_stat,116.25505997261484,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_stat,116.25918358550778,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,C2ST,0.5135499835014343,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,C2ST,0.508899986743927,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,C2ST,0.5037999749183655,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_stat,-0.07062314745217886,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_stat,-0.1022415953455787,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_stat,0.8289466180501137,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_pvalue,0.9436976874055112,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_pvalue,0.9185649124141791,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_pvalue,0.40713461450702026,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,C2ST,0.5092499852180481,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,C2ST,0.5131499767303467,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,C2ST,0.503849983215332,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,RS_stat,1.433183889505615,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,RS_stat,2.022428209064653,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,RS_stat,1.9763556835465133,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,RS_pvalue,0.15180529245396074,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,RS_pvalue,0.04313213327105196,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,CORRECTED_NRE,RS_pvalue,0.04811450704651435,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ALL,TIME_SIMULATION,2.2065978050231934,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ALL,TIME_TRAINING,47.72243595123291,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ALL,TIME_EVAL,24.325095891952515,1.0,0,20.0,1000,2,128,256,390,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
