alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1
1.0,inf,ABC,C2ST,0.9909499883651733,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,C2ST,0.9907500147819519,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,C2ST,0.9904000163078308,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_stat,116.64761763242316,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_stat,116.64816385498041,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_stat,116.65131871889851,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,C2ST,0.5540500283241272,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,C2ST,0.5565000176429749,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,C2ST,0.5533499717712402,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_stat,12.217330544810677,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_stat,11.870354300104673,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,NRE,RS_stat,13.102057998269737,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
